datasize,real,model
140000.0,0.668293,0.594571083333
193000.0,0.784006,0.787782
185000.0,0.752005,0.7324118125
73000.0,0.356003,0.360386
261000.0,1.058472,1.03382359091
14000.0,0.0813769999999,0.0626895
98000.0,0.454819,0.480898
139000.0,0.663141,0.5909505
269000.0,1.08884,1.093512
65000.0,0.318211,0.2962685
162000.0,0.734758,0.736318928571
211000.0,0.85591,0.835090277778
104000.0,0.504611,0.480053555556
264000.0,1.068009,1.04751909091
237000.0,0.959783,0.939627
300000.0,1.214442,1.19570388
291000.0,1.176521,1.180424
240000.0,0.971912,1.083656
97000.0,0.449348,0.477956
58000.0,0.285987,0.286658
228000.0,0.923623,0.925064
270000.0,1.092841,1.09556
83000.0,0.403075,0.405828
31000.0,0.154209,0.156288
203000.0,0.823974,0.925448
60000.0,0.292899,0.29485
208000.0,0.844231,0.84692
48000.0,0.235074,0.238978
186000.0,0.757062,0.7335278125
32000.0,0.160641,0.157186
117000.0,0.508164,0.522692
189000.0,0.767526,0.74636375
126000.0,0.513604,0.537909272727
233000.0,0.943368,0.945736
267000.0,1.080137,1.08596
106000.0,0.498212,0.504516
116000.0,0.502595,0.4937606
246000.0,0.998728,0.977947619048
279000.0,1.130281,1.13044
155000.0,0.631269,0.634948
28000.0,0.138113,0.118506666667
288000.0,1.165641,1.14304979167
165000.0,0.669574,0.650474357143
292000.0,1.181033,1.182986
143000.0,0.627717,0.635652
100000.0,0.485123,0.465242777778
133000.0,0.54266,0.649478
72000.0,0.3505,0.352514
55000.0,0.270211,0.243189
268000.0,1.083592,1.088266
159000.0,0.648101,0.648644
217000.0,0.880455,0.881928
298000.0,1.205289,1.18780116
229000.0,0.928999,0.93108
239000.0,0.968775,1.05269775
280000.0,1.133705,1.137802
134000.0,0.546212,0.65575
90000.0,0.437795,0.41568375
44000.0,0.219458,0.216512
227000.0,0.919911,0.897479789474
87000.0,0.424707,0.400081875
219000.0,0.889255,0.889478
119000.0,0.5257,0.530308
294000.0,1.189642,1.191882
145000.0,0.589828,0.594756
15000.0,0.0764800000001,0.0663855
194000.0,0.789958,0.790342
118000.0,0.568933,0.526724
86000.0,0.418147,0.420738
179000.0,0.726502,0.730246
67000.0,0.326051,0.302897833333
24000.0,0.119841,0.122176
226000.0,0.916199,0.895047526316
218000.0,0.884838,0.88839
91000.0,0.440643,0.419401875
27000.0,0.137345,0.113281666667
37000.0,0.181858,0.160888
114000.0,0.494851,0.4839718
16000.0,0.0876169999999,0.06864
198000.0,0.806247,0.783435529412
236000.0,0.955272,0.9333246
245000.0,0.992744,0.993802
154000.0,0.627941,0.63047
156000.0,0.635493,0.638086
274000.0,1.109032,1.0873976087
52000.0,0.25501,0.235701
174000.0,0.707365,0.6854266
96000.0,0.465923,0.471428
184000.0,0.747749,0.749766
272000.0,1.101064,1.07950695652
33000.0,0.162017,0.164288
266000.0,1.076425,1.08052
30000.0,0.147521,0.124535
84000.0,0.408803,0.412484
242000.0,0.981256,0.981384
190000.0,0.772934,0.7514458125
57000.0,0.278466,0.282114
271000.0,1.09764,1.07650369565
210000.0,0.852295,0.830299166667
223000.0,0.905127,0.882960210526
188000.0,0.764198,0.7425178125
20000.0,0.101569,0.100672
290000.0,1.174633,1.176392
54000.0,0.265635,0.2405952
131000.0,0.532996,0.536708
95000.0,0.463012,0.465028
29000.0,0.143137,0.12384
121000.0,0.534084,0.541572
70000.0,0.340867,0.345986
111000.0,0.521636,0.4724198
109000.0,0.511492,0.532932
260000.0,1.053416,1.03125922727
201000.0,0.816134,0.933948529412
265000.0,1.07284,1.075338
38000.0,0.189154,0.17018575
42000.0,0.205986,0.18233775
23000.0,0.112705,0.122112
256000.0,1.037544,1.038216
275000.0,1.113417,1.09422
251000.0,1.016968,0.995565904762
108000.0,0.507588,0.528772
232000.0,0.939783,0.941576
168000.0,0.682886,0.686086
180000.0,0.729926,0.735496
252000.0,1.021832,1.023176
150000.0,0.610629,0.591203846154
147000.0,0.598629,0.602564
82000.0,0.399458,0.403332
45000.0,0.222178,0.223298
64000.0,0.314211,0.294977833333
102000.0,0.49482,0.473342333333
99000.0,0.481027,0.459984111111
47000.0,0.230978,0.232706
289000.0,1.17073,1.175176
125000.0,0.55146,0.536259818182
247000.0,1.001896,0.978135047619
26000.0,0.130113,0.112053333333
36000.0,0.177122,0.179906
79000.0,0.385507,0.361626571428
62000.0,0.304706,0.281953833333
259000.0,1.049992,1.02494018182
103000.0,0.499716,0.474553111111
172000.0,0.698053,0.703238
142000.0,0.62346,0.631942
51000.0,0.250243,0.2293074
213000.0,0.865415,0.842556944444
74000.0,0.360035,0.337259
263000.0,1.064424,1.04376636364
204000.0,0.828903,0.842504
137000.0,0.654373,0.583408416667
284000.0,1.148713,1.1278825
80000.0,0.388834,0.391618
209000.0,0.85015,0.828807777778
191000.0,0.776742,0.778694
25000.0,0.126657,0.110081666667
56000.0,0.274275,0.277314
276000.0,1.116489,1.09459565217
297000.0,1.201353,1.18391252
127000.0,0.516228,0.540658363636
144000.0,0.586501,0.58906
234000.0,0.949159,0.9255246
132000.0,0.538468,0.646022
157000.0,0.639557,0.640582
249000.0,1.009416,0.986631809524
123000.0,0.543204,0.522453272727
215000.0,0.873703,0.85071
254000.0,1.030408,1.030536
222000.0,0.900807,0.877414105263
68000.0,0.331715,0.33658
177000.0,0.719141,0.6986042
107000.0,0.502244,0.525828
206000.0,0.836678,0.837382
282000.0,1.142185,1.148106
43000.0,0.211042,0.18418575
94000.0,0.455715,0.462658
19000.0,0.0984960000001,0.099522
75000.0,0.366084,0.345876142857
235000.0,0.952263,0.932139
199000.0,0.80775,0.786852
183000.0,0.744006,0.745286
35000.0,0.172417,0.172032
49000.0,0.241346,0.24077
160000.0,0.651269,0.631094142857
61000.0,0.297827,0.300226
224000.0,0.908327,0.887135368421
171000.0,0.694086,0.69671
141000.0,0.673189,0.6005185
241000.0,0.977128,0.992776
93000.0,0.451331,0.456452
167000.0,0.677701,0.680006
195000.0,0.792614,0.793672
